Promedio horarios de coPromedio horarios de co
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
20-05-2007,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.30,nr,2.2,nr,1.6,nr,nr,1.10,nr,0.60,0.6,2.20,nr,nr,0.9,nr,nr,1.2,nr,1.20,0.80,nr,nr,0.40,nr,1.40,1.60,
20-05-2007,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.30,nr,1.7,nr,1.6,nr,nr,0.80,nr,0.50,0.5,1.30,nr,nr,0.7,nr,nr,1.0,nr,1.00,1.20,nr,nr,0.10,nr,1.60,0.90,
20-05-2007,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.90,nr,1.4,nr,1.2,nr,nr,0.50,nr,0.80,0.7,1.40,nr,nr,1.2,nr,nr,1.3,nr,0.80,1.00,nr,nr,0.20,nr,1.30,1.00,
20-05-2007,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.80,nr,1.3,nr,1.5,nr,nr,0.60,nr,1.00,0.7,1.70,nr,nr,1.1,nr,nr,1.2,nr,0.80,1.10,nr,nr,0.40,nr,1.10,0.90,
20-05-2007,5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.80,nr,1.4,nr,1.5,nr,nr,0.60,nr,0.90,0.6,1.80,nr,nr,1.0,nr,nr,1.5,nr,0.90,1.20,nr,nr,0.30,nr,0.90,1.80,
20-05-2007,6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.00,nr,2.0,nr,1.5,nr,nr,1.00,nr,1.10,0.5,2.20,nr,nr,1.3,nr,nr,2.1,nr,1.10,1.00,nr,nr,0.70,nr,0.90,2.50,
20-05-2007,7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.60,nr,2.0,nr,1.5,nr,nr,1.40,nr,1.20,1.0,2.70,nr,nr,1.3,nr,nr,2.7,nr,1.00,1.30,nr,nr,1.50,nr,1.80,2.40,
20-05-2007,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.40,nr,2.1,nr,2.2,nr,nr,1.70,nr,1.00,1.0,2.10,nr,nr,1.2,nr,nr,2.0,nr,1.30,1.30,nr,nr,2.00,nr,1.20,1.90,
20-05-2007,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.50,nr,2.6,nr,2.7,nr,nr,1.90,nr,0.90,1.0,1.60,nr,nr,1.4,nr,nr,1.7,nr,1.40,1.20,nr,nr,1.60,nr,0.80,0.90,
20-05-2007,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.60,nr,1.8,nr,2.0,nr,nr,1.20,nr,0.60,1.0,0.90,nr,nr,1.2,nr,nr,1.6,nr,2.00,1.30,nr,nr,1.00,nr,0.90,0.70,
20-05-2007,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.90,nr,1.0,nr,1.3,nr,nr,1.10,nr,0.60,1.0,0.80,nr,nr,1.0,nr,nr,1.3,nr,1.80,1.20,nr,nr,1.10,nr,0.90,0.70,
20-05-2007,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.40,nr,0.9,nr,1.2,nr,nr,0.70,nr,0.80,1.8,0.70,nr,nr,1.1,nr,nr,1.4,nr,1.30,0.90,nr,nr,0.60,nr,0.70,0.50,
20-05-2007,13,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.90,nr,0.9,nr,1.1,nr,nr,0.60,nr,0.70,0.7,0.60,nr,nr,1.0,nr,nr,1.5,nr,0.90,0.70,nr,nr,0.20,nr,0.80,0.50,
